Age,Attrition,BusinessTravel,Department,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,Income_bin,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHome
35,0,Travel_Frequently,Sales,Marketing,3,Female,3,3,3,Single,8789,3,No,10,4,10,7,0,8,1
29,1,Travel_Rarely,Research & Development,Medical,3,Male,2,1,4,Single,2389,1,Yes,4,2,4,3,0,1,18
52,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,2,1,4,Single,3212,2,No,6,2,2,2,2,2,2
42,0,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,5,4,Married,19232,6,No,22,3,22,17,11,15,4
59,0,Travel_Rarely,Human Resources,Medical,2,Male,3,1,3,Married,2267,1,No,7,2,2,2,2,2,6
50,0,Travel_Rarely,Sales,Medical,4,Female,3,5,4,Divorced,19517,6,No,32,2,7,0,0,6,1
33,1,Travel_Rarely,Research & Development,Medical,3,Male,3,1,4,Married,2436,1,Yes,8,1,5,4,0,4,14
43,0,Travel_Rarely,Sales,Marketing,4,Female,3,4,4,Married,16064,6,Yes,22,3,17,13,1,9,16
33,1,Travel_Rarely,Research & Development,Life Sciences,1,Female,3,1,1,Married,2707,1,No,13,4,9,7,1,7,2
52,0,Non-Travel,Sales,Life Sciences,1,Male,2,5,3,Single,19068,6,Yes,33,4,33,7,15,12,2
32,0,Travel_Rarely,Sales,Life Sciences,3,Female,3,1,2,Married,3931,2,No,6,3,4,3,1,2,4
32,1,Travel_Rarely,Research & Development,Life Sciences,4,Male,2,1,3,Single,3730,2,Yes,4,1,3,2,1,2,1
39,0,Travel_Rarely,Research & Development,Medical,3,Female,3,1,3,Divorced,2232,1,No,7,3,3,2,1,2,1
32,0,Non-Travel,Sales,Marketing,3,Male,3,2,4,Married,4465,2,No,4,3,3,2,2,2,26
41,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,2,1,Divorced,3072,2,No,17,2,1,0,0,0,19
40,0,Travel_Rarely,Research & Development,Technical Degree,1,Male,3,2,4,Divorced,3319,2,No,9,3,9,8,4,7,24
45,0,Travel_Rarely,Research & Development,Other,3,Male,4,5,4,Married,19202,6,No,25,3,24,0,1,7,1
31,0,Travel_Frequently,Research & Development,Medical,2,Male,3,3,3,Divorced,13675,5,No,9,3,2,2,2,2,3
33,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,2,1,4,Married,2911,1,No,2,2,2,2,0,2,5
34,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,2,2,1,Married,5957,2,No,13,3,11,9,5,9,2
37,0,Travel_Rarely,Research & Development,Medical,3,Female,2,1,1,Married,3920,2,No,17,2,3,1,0,2,1
45,0,Travel_Frequently,Research & Development,Life Sciences,1,Male,4,2,3,Married,6434,3,No,9,3,3,2,0,2,7
37,1,Travel_Frequently,Research & Development,Medical,1,Male,3,3,3,Divorced,10048,4,No,17,3,1,0,0,0,10
39,0,Travel_Frequently,Research & Development,Technical Degree,3,Female,3,3,3,Single,10938,4,No,20,3,19,6,11,8,2
29,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,4,Single,2340,1,No,6,3,6,5,1,5,15
42,0,Travel_Rarely,Research & Development,Life Sciences,4,Female,4,2,1,Single,6545,3,Yes,10,3,3,2,0,2,17
29,0,Travel_Rarely,Sales,Marketing,4,Male,3,2,4,Divorced,6931,3,No,10,3,3,2,0,2,20
25,0,Travel_Rarely,Research & Development,Life Sciences,1,Female,3,2,3,Married,4898,2,No,5,3,4,2,1,2,1
42,0,Travel_Rarely,Research & Development,Medical,4,Female,2,1,1,Divorced,2593,1,Yes,10,3,9,6,7,8,2
40,0,Travel_Rarely,Research & Development,Medical,1,Male,3,5,3,Divorced,19436,6,No,22,3,21,7,3,9,2
51,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,4,Married,2723,1,No,1,2,1,0,0,0,1
31,1,Travel_Frequently,Research & Development,Medical,3,Male,2,1,2,Single,3479,2,No,6,4,5,4,1,4,29
32,0,Travel_Frequently,Research & Development,Life Sciences,2,Male,4,1,2,Married,2794,1,No,5,1,5,1,0,3,7
38,0,Non-Travel,Sales,Life Sciences,4,Male,2,2,4,Married,5249,2,No,13,3,8,7,7,5,2
32,0,Travel_Rarely,Research & Development,Technical Degree,4,Male,2,2,1,Single,2176,1,No,9,3,6,2,0,4,2
46,0,Travel_Rarely,Sales,Technical Degree,3,Female,1,4,2,Married,16872,6,Yes,28,2,7,7,7,7,2
28,1,Travel_Rarely,Research & Development,Life Sciences,1,Male,3,1,3,Single,3485,2,No,5,1,0,0,0,0,2
29,0,Travel_Rarely,Sales,Medical,1,Male,2,2,2,Married,6644,3,No,10,3,0,0,0,0,2
31,0,Travel_Rarely,Research & Development,Medical,2,Male,2,2,4,Married,5582,2,No,10,3,9,0,7,8,23
25,0,Non-Travel,Research & Development,Life Sciences,2,Male,4,2,1,Divorced,4000,2,No,6,3,6,3,1,5,5
45,0,Travel_Rarely,Research & Development,Medical,3,Male,3,4,4,Married,13496,5,Yes,21,3,20,7,4,10,20
36,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,1,4,Married,3210,2,No,16,3,15,13,10,11,6
55,0,Travel_Rarely,Research & Development,Medical,4,Male,3,5,1,Single,19045,6,Yes,37,3,36,10,4,13,1
47,1,Non-Travel,Research & Development,Life Sciences,1,Male,3,3,2,Married,11849,4,Yes,10,2,10,7,9,9,29
28,0,Travel_Rarely,Research & Development,Medical,4,Male,3,1,4,Married,2070,1,No,5,2,5,2,0,4,9
37,0,Travel_Rarely,Sales,Medical,3,Male,3,2,4,Married,6502,3,No,7,4,5,4,0,1,6
21,0,Travel_Rarely,Research & Development,Medical,4,Male,2,1,3,Single,3230,2,No,3,4,3,2,1,0,3
37,0,Non-Travel,Research & Development,Medical,1,Female,3,3,4,Divorced,13603,5,Yes,15,3,5,2,0,2,1
35,0,Travel_Rarely,Research & Development,Life Sciences,2,Female,4,3,2,Divorced,11996,4,No,10,2,7,7,6,2,22
38,0,Travel_Rarely,Sales,Medical,1,Female,4,2,1,Divorced,5605,2,Yes,8,3,8,0,7,7,7
26,0,Travel_Frequently,Research & Development,Life Sciences,3,Female,3,2,2,Divorced,6397,3,No,6,1,6,5,1,4,1
50,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,3,5,2,Divorced,19144,6,No,28,2,10,4,1,6,4
53,0,Travel_Rarely,Research & Development,Medical,3,Male,3,4,3,Married,17584,6,Yes,21,2,5,3,1,3,3
42,0,Travel_Rarely,Sales,Life Sciences,2,Male,3,2,3,Married,4907,2,No,20,3,20,16,11,6,1
29,0,Travel_Frequently,Sales,Life Sciences,2,Male,3,2,4,Single,4554,2,No,10,2,10,7,0,9,2
55,0,Travel_Rarely,Research & Development,Technical Degree,2,Male,3,2,4,Married,5415,2,Yes,12,3,10,7,0,8,20
26,0,Travel_Frequently,Research & Development,Medical,1,Male,3,2,1,Married,4741,2,Yes,5,3,5,3,3,3,11
37,0,Travel_Rarely,Research & Development,Life Sciences,4,Female,3,1,4,Single,2115,1,No,17,3,17,12,5,7,1
44,1,Travel_Frequently,Research & Development,Life Sciences,4,Male,3,1,3,Divorced,3161,2,Yes,19,1,1,0,0,0,24
38,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,2,4,Divorced,5745,2,No,10,3,2,2,1,2,23
26,1,Travel_Rarely,Research & Development,Medical,1,Male,3,1,2,Divorced,2373,1,Yes,5,3,3,2,0,2,16
28,0,Travel_Rarely,Research & Development,Life Sciences,4,Female,3,1,4,Single,3310,2,No,5,3,5,3,0,2,8
49,0,Travel_Frequently,Research & Development,Life Sciences,3,Female,3,5,1,Single,18665,6,Yes,22,3,3,2,1,2,10
36,0,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,2,2,Single,4485,2,No,10,3,8,0,7,7,3
31,0,Travel_Frequently,Sales,Marketing,4,Female,3,1,2,Divorced,2789,1,No,2,2,2,2,2,2,5
26,1,Travel_Rarely,Sales,Marketing,4,Male,2,2,4,Single,5828,2,Yes,8,3,8,7,7,4,4
37,0,Travel_Frequently,Research & Development,Medical,2,Male,3,1,4,Married,2326,1,Yes,4,2,4,2,1,2,9
42,0,Travel_Frequently,Sales,Marketing,3,Female,3,4,2,Married,13525,5,No,23,4,20,4,4,8,26
18,1,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,3,Single,1420,1,No,0,3,0,0,0,0,3
35,0,Travel_Rarely,Sales,Marketing,3,Male,3,3,2,Married,8020,3,No,12,2,11,9,6,9,16
36,0,Travel_Frequently,Research & Development,Life Sciences,3,Male,4,1,4,Married,3688,2,No,4,3,1,0,0,0,18
51,0,Travel_Rarely,Research & Development,Medical,4,Male,1,2,2,Divorced,5482,2,No,13,3,4,1,1,2,2
41,0,Travel_Rarely,Sales,Life Sciences,4,Male,3,4,2,Single,16015,6,No,22,3,22,10,0,4,2
18,0,Travel_Rarely,Sales,Medical,4,Female,2,1,3,Single,1200,1,No,0,3,0,0,0,0,10
28,0,Travel_Rarely,Research & Development,Medical,2,Male,4,2,1,Single,5661,2,No,9,3,8,3,0,7,16
31,0,Travel_Rarely,Sales,Technical Degree,2,Male,4,2,4,Married,6929,3,No,10,2,8,7,7,7,7
39,0,Travel_Rarely,Research & Development,Medical,3,Male,4,3,4,Divorced,9613,4,No,19,2,18,10,3,7,1
36,0,Non-Travel,Research & Development,Life Sciences,2,Female,3,2,2,Married,5674,2,No,11,3,9,8,0,8,24
32,0,Travel_Rarely,Sales,Life Sciences,4,Male,2,2,3,Married,5484,2,No,13,2,13,8,4,8,7
38,0,Travel_Rarely,Research & Development,Life Sciences,1,Female,2,3,2,Married,12061,5,No,19,3,10,8,0,1,25
58,0,Non-Travel,Research & Development,Life Sciences,4,Male,1,2,3,Divorced,5660,2,Yes,12,3,5,3,1,2,1
31,0,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,1,4,Married,4821,2,Yes,6,3,5,2,0,3,5
31,0,Travel_Rarely,Human Resources,Human Resources,1,Male,2,2,1,Married,6410,3,No,9,3,2,2,1,0,2
45,0,Travel_Frequently,Research & Development,Life Sciences,1,Male,3,3,1,Divorced,5210,2,No,24,3,24,9,9,11,7
31,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,4,Divorced,2695,1,Yes,3,1,2,2,2,2,2
33,0,Travel_Frequently,Research & Development,Life Sciences,4,Female,3,3,2,Married,11878,4,No,12,3,10,6,8,8,5
39,0,Travel_Rarely,Research & Development,Medical,3,Male,3,4,1,Married,17068,6,Yes,21,3,21,9,11,10,10
43,0,Travel_Frequently,Research & Development,Life Sciences,3,Female,3,1,4,Single,2455,1,No,9,3,8,7,1,7,10
49,0,Travel_Rarely,Research & Development,Technical Degree,3,Female,2,4,3,Single,13964,5,Yes,25,3,7,1,0,7,1
52,1,Travel_Rarely,Research & Development,Medical,3,Male,2,2,2,Married,4941,2,No,11,2,8,2,7,7,8
27,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,1,2,Single,2478,1,Yes,4,2,4,3,1,2,5
32,0,Travel_Rarely,Sales,Technical Degree,3,Female,2,2,2,Married,5228,2,Yes,13,3,13,12,11,9,8
27,0,Travel_Rarely,Sales,Life Sciences,4,Male,3,2,3,Single,4478,2,Yes,5,3,5,4,0,4,2
31,0,Travel_Rarely,Sales,Marketing,4,Male,3,2,4,Divorced,7547,3,No,13,3,7,7,1,7,7
32,0,Travel_Rarely,Research & Development,Medical,1,Female,4,2,4,Single,5055,2,No,10,2,7,7,0,7,2
28,1,Travel_Rarely,Research & Development,Medical,1,Male,1,1,4,Married,3464,2,Yes,5,2,3,2,2,2,2
30,0,Travel_Rarely,Research & Development,Medical,4,Female,3,2,4,Married,5775,2,No,11,3,10,8,1,9,28
31,0,Travel_Frequently,Research & Development,Life Sciences,3,Female,2,3,3,Married,8943,3,No,10,3,10,9,8,9,7
39,0,Travel_Frequently,Research & Development,Medical,3,Male,2,5,4,Married,19272,6,No,21,3,21,9,13,3,7
39,1,Travel_Rarely,Sales,Medical,4,Female,3,2,3,Married,5238,2,Yes,12,2,1,0,0,0,3
33,0,Travel_Frequently,Sales,Marketing,2,Male,2,2,4,Single,4682,2,No,9,2,7,7,0,1,10
47,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,5,3,Married,18300,6,No,21,3,3,2,1,1,5
43,0,Travel_Frequently,Research & Development,Life Sciences,3,Female,2,2,3,Divorced,5257,2,No,9,4,9,7,0,0,10
27,0,Non-Travel,Sales,Marketing,3,Male,3,2,2,Married,6349,3,Yes,6,3,5,4,1,4,1
54,0,Travel_Frequently,Research & Development,Life Sciences,4,Female,3,2,3,Single,4869,2,No,20,2,4,3,0,3,20
43,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,3,1,Married,9985,4,No,10,2,1,0,0,0,7
45,0,Travel_Rarely,Research & Development,Other,4,Male,3,2,4,Married,3697,2,No,12,3,10,9,9,8,8
40,0,Travel_Rarely,Sales,Medical,2,Male,1,2,4,Married,7457,3,Yes,6,2,4,3,0,2,1
29,1,Travel_Rarely,Research & Development,Other,2,Male,1,1,1,Married,2119,1,Yes,7,2,7,7,0,7,8
29,0,Travel_Rarely,Research & Development,Other,2,Male,2,1,4,Single,3983,2,No,4,3,3,2,2,2,9
30,0,Travel_Rarely,Sales,Marketing,4,Female,2,2,3,Divorced,6118,3,No,10,3,10,9,1,2,5
27,0,Travel_Rarely,Sales,Marketing,2,Female,3,2,2,Married,6214,3,No,8,3,8,7,0,7,8
37,0,Travel_Rarely,Research & Development,Medical,4,Male,3,2,4,Divorced,6347,3,No,8,2,6,2,0,4,5
38,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,2,3,4,Divorced,11510,4,Yes,12,3,11,10,2,9,15
31,0,Travel_Rarely,Research & Development,Medical,3,Female,3,3,4,Single,7143,3,Yes,11,2,11,9,4,10,7
29,0,Travel_Rarely,Sales,Marketing,4,Female,2,2,2,Divorced,8268,3,Yes,7,3,7,7,1,7,10
35,0,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,3,2,Single,8095,3,No,17,3,16,6,0,13,5
23,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,4,Divorced,2904,1,No,4,2,4,2,0,2,26
41,0,Travel_Rarely,Research & Development,Medical,4,Male,2,2,2,Single,6032,3,Yes,8,3,5,4,1,2,6
47,0,Travel_Frequently,Sales,Medical,2,Male,3,2,3,Single,2976,1,No,5,3,0,0,0,0,4
42,0,Travel_Rarely,Research & Development,Life Sciences,1,Female,3,4,4,Single,15992,6,No,16,3,1,0,0,0,23
29,0,Non-Travel,Sales,Life Sciences,4,Male,3,2,3,Married,4649,2,No,4,2,4,3,0,2,2
42,0,Travel_Rarely,Human Resources,Technical Degree,3,Male,3,1,3,Divorced,2696,1,Yes,4,3,3,2,1,0,2
32,0,Travel_Rarely,Research & Development,Medical,3,Female,3,1,2,Married,2370,1,No,8,3,8,0,0,7,2
48,0,Travel_Rarely,Sales,Medical,1,Female,3,3,3,Married,12504,5,No,15,1,0,0,0,0,29
37,0,Travel_Rarely,Research & Development,Medical,3,Male,4,2,1,Divorced,5974,2,Yes,13,3,7,7,6,7,6
30,0,Non-Travel,Sales,Technical Degree,4,Female,3,2,3,Married,4736,2,Yes,4,4,2,2,2,2,25
26,0,Travel_Rarely,Sales,Life Sciences,3,Male,3,2,3,Married,5296,2,No,8,3,8,7,7,7,1
42,0,Travel_Rarely,Research & Development,Other,1,Male,2,2,4,Single,6781,3,No,14,3,1,0,0,0,2
21,1,Travel_Frequently,Sales,Technical Degree,1,Female,2,1,2,Single,2174,1,Yes,3,3,3,2,1,2,1
36,0,Non-Travel,Sales,Medical,4,Female,3,2,4,Single,6653,3,No,7,3,1,0,0,0,1
36,0,Travel_Frequently,Sales,Medical,1,Male,2,3,4,Married,9699,4,No,16,3,13,9,1,12,3
57,0,Travel_Rarely,Research & Development,Medical,4,Male,3,2,3,Married,6755,3,No,15,3,3,2,1,2,1
40,0,Travel_Rarely,Research & Development,Life Sciences,4,Female,4,1,3,Married,2213,1,Yes,10,3,7,7,1,7,10
21,0,Non-Travel,Sales,Medical,1,Male,3,1,4,Single,2610,1,No,3,2,3,2,2,2,9
33,1,Travel_Rarely,Sales,Marketing,4,Female,3,1,3,Single,2851,1,Yes,1,3,1,0,0,0,5
37,0,Travel_Rarely,Research & Development,Medical,3,Female,3,1,1,Married,3452,2,No,17,3,5,4,0,3,10
46,0,Non-Travel,Research & Development,Medical,3,Female,3,2,3,Married,5258,2,No,7,4,1,0,0,0,7
41,1,Travel_Frequently,Sales,Marketing,1,Male,3,2,2,Single,9355,4,No,8,3,8,7,7,7,4
50,0,Travel_Rarely,Research & Development,Technical Degree,4,Male,2,3,4,Single,10496,4,No,20,3,4,3,1,3,10
40,1,Travel_Rarely,Sales,Marketing,3,Male,2,2,3,Married,6380,3,Yes,8,3,6,4,1,0,22
31,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,2,1,2,Single,2657,1,Yes,3,3,2,2,2,2,9
21,1,Travel_Rarely,Sales,Life Sciences,3,Female,4,1,2,Single,2716,1,No,1,3,1,0,0,0,12
29,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,1,4,Single,2201,1,No,6,3,3,2,1,2,23
35,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,2,2,2,Single,6540,3,No,10,3,1,1,0,0,9
27,0,Travel_Rarely,Research & Development,Medical,4,Male,3,1,2,Divorced,3816,2,No,5,3,5,2,0,4,1
28,0,Travel_Rarely,Sales,Life Sciences,2,Male,3,2,4,Single,5253,2,No,7,3,7,5,0,7,9
49,0,Travel_Rarely,Research & Development,Other,2,Male,2,3,3,Single,10965,4,No,26,3,5,2,0,0,7
51,0,Travel_Rarely,Sales,Life Sciences,3,Female,3,2,4,Married,4936,2,No,18,2,7,7,0,7,14
36,0,Travel_Rarely,Research & Development,Life Sciences,4,Female,3,1,3,Married,2543,1,No,6,3,2,2,2,2,2
34,1,Non-Travel,Sales,Marketing,1,Male,4,2,4,Single,5304,2,Yes,9,2,5,2,0,4,19
55,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,4,4,Single,16659,6,Yes,30,3,5,4,1,2,2
24,0,Travel_Rarely,Sales,Marketing,4,Female,3,2,3,Divorced,4260,2,Yes,5,4,5,2,0,3,10
30,0,Travel_Rarely,Sales,Technical Degree,3,Male,3,1,2,Married,2476,1,No,1,3,1,0,0,0,2
26,1,Travel_Frequently,Research & Development,Technical Degree,3,Male,3,1,1,Single,3102,2,No,7,3,6,4,0,4,3
22,0,Travel_Rarely,Research & Development,Medical,1,Female,3,1,2,Married,2244,1,No,2,3,2,1,1,2,11
36,0,Travel_Rarely,Sales,Medical,2,Male,2,3,3,Married,7596,3,No,10,3,10,9,9,0,2
30,1,Travel_Frequently,Research & Development,Technical Degree,3,Male,3,1,4,Single,2285,1,Yes,3,3,1,0,0,0,4
37,0,Travel_Rarely,Research & Development,Life Sciences,4,Female,3,1,1,Divorced,3034,2,No,18,2,18,7,12,17,14
40,0,Travel_Rarely,Sales,Marketing,4,Female,3,2,2,Divorced,5715,2,No,8,3,5,4,1,3,2
42,0,Travel_Rarely,Research & Development,Life Sciences,2,Female,3,1,1,Divorced,2576,1,No,8,3,5,2,1,2,1
37,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,2,2,Single,4197,2,Yes,18,2,1,0,0,1,10
43,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,2,4,2,Divorced,14336,5,No,25,3,25,10,3,9,12
40,0,Travel_Rarely,Research & Development,Medical,2,Female,2,2,3,Married,3448,2,No,20,3,1,0,0,0,2
54,0,Travel_Rarely,Research & Development,Medical,1,Male,3,5,1,Married,19406,6,No,24,2,4,2,1,2,5
34,0,Non-Travel,Sales,Marketing,3,Female,3,2,3,Married,6538,3,No,6,3,3,2,1,2,4
31,0,Travel_Rarely,Research & Development,Medical,2,Female,3,2,1,Married,4306,2,No,13,1,13,10,3,12,7
43,0,Travel_Frequently,Research & Development,Medical,4,Male,3,1,4,Married,2258,1,No,8,3,3,2,1,2,21
43,0,Travel_Rarely,Research & Development,Other,3,Female,3,2,3,Divorced,4522,2,Yes,8,3,5,2,0,2,8
25,0,Travel_Rarely,Sales,Life Sciences,2,Female,2,2,4,Single,4487,2,Yes,5,3,5,4,1,3,4
37,0,Non-Travel,Research & Development,Medical,2,Female,3,2,3,Married,4449,2,Yes,15,3,13,11,10,7,25
31,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,2,1,1,Married,2218,1,No,4,3,4,2,3,2,1
39,0,Travel_Frequently,Research & Development,Life Sciences,2,Male,3,5,3,Divorced,19197,6,Yes,21,3,21,8,1,6,1
56,0,Travel_Frequently,Sales,Life Sciences,3,Female,4,4,1,Married,13212,5,No,36,2,7,7,7,7,6
30,0,Travel_Rarely,Sales,Technical Degree,2,Female,3,2,3,Single,6577,3,No,6,3,5,4,4,4,12
41,0,Travel_Rarely,Sales,Marketing,2,Male,4,3,1,Married,8392,3,No,10,3,10,7,0,7,1
28,0,Travel_Rarely,Research & Development,Medical,3,Male,3,2,1,Divorced,4558,2,No,10,3,10,0,1,8,17
25,1,Travel_Rarely,Research & Development,Medical,1,Male,3,1,1,Married,4031,2,No,6,3,2,2,0,2,3
52,0,Travel_Rarely,Research & Development,Medical,4,Male,2,3,3,Married,7969,3,Yes,28,3,5,4,0,4,3
45,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,3,1,4,Married,2654,1,No,8,2,2,2,0,2,10
52,0,Travel_Rarely,Research & Development,Life Sciences,4,Female,3,4,4,Married,16555,6,No,31,1,5,2,1,4,4
42,0,Travel_Frequently,Research & Development,Life Sciences,1,Female,3,2,3,Divorced,4556,2,No,19,3,5,4,0,2,29
30,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,1,2,4,Single,6091,3,No,11,3,5,4,0,2,2
60,0,Travel_Rarely,Research & Development,Life Sciences,1,Female,3,5,1,Married,19566,6,No,33,1,29,8,11,10,7
46,0,Travel_Rarely,Research & Development,Medical,3,Female,3,2,3,Divorced,4810,2,No,19,2,10,7,0,8,18
42,0,Travel_Frequently,Research & Development,Technical Degree,4,Female,2,2,4,Married,4523,2,No,7,4,6,5,0,4,28
24,1,Travel_Rarely,Sales,Technical Degree,1,Female,3,1,2,Single,3202,2,Yes,6,3,5,3,1,4,1
34,1,Travel_Frequently,Sales,Marketing,4,Female,1,1,3,Divorced,2351,1,No,3,2,2,2,1,0,6
38,0,Travel_Frequently,Research & Development,Life Sciences,4,Male,3,1,4,Married,1702,1,Yes,1,3,1,0,0,0,2
40,0,Travel_Rarely,Sales,Life Sciences,3,Female,3,5,3,Married,18041,6,No,21,3,20,15,1,12,2
26,0,Travel_Rarely,Research & Development,Life Sciences,1,Female,3,1,4,Divorced,2886,1,No,3,1,3,2,0,2,23
30,0,Non-Travel,Research & Development,Life Sciences,3,Male,3,1,4,Married,2097,1,No,9,1,5,3,1,4,3
29,0,Travel_Rarely,Research & Development,Medical,2,Male,2,3,3,Married,11935,4,No,10,3,10,2,0,7,3
29,1,Travel_Rarely,Research & Development,Technical Degree,3,Female,2,1,2,Married,2546,1,No,6,4,2,2,1,1,25
19,1,Travel_Rarely,Human Resources,Technical Degree,1,Male,2,1,4,Single,2564,1,No,1,4,1,0,0,0,2
30,0,Non-Travel,Sales,Other,3,Female,3,3,1,Married,8412,3,No,10,3,9,8,7,8,22
57,0,Travel_Rarely,Sales,Marketing,1,Male,2,4,4,Divorced,14118,5,No,32,2,1,0,0,0,29
50,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,2,4,3,Married,17046,6,No,28,3,27,10,15,7,29
30,0,Non-Travel,Research & Development,Medical,3,Female,3,1,4,Single,2564,1,No,12,2,11,7,6,7,2
60,0,Travel_Frequently,Sales,Marketing,3,Female,2,3,1,Married,10266,4,No,22,4,18,13,13,11,28
47,0,Travel_Rarely,Research & Development,Medical,1,Female,3,2,4,Divorced,5070,2,No,20,3,5,0,0,4,2
46,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,3,4,3,Married,17861,6,No,26,1,3,2,0,1,2
35,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,1,1,3,Single,4230,2,No,6,3,5,4,4,3,22
54,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,2,3,Single,3780,2,No,19,3,1,0,0,0,8
34,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,2,1,3,Divorced,2768,1,No,14,3,7,3,5,7,2
46,0,Travel_Rarely,Sales,Marketing,3,Female,2,3,4,Married,9071,4,Yes,15,3,3,2,1,2,10
31,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,3,2,Divorced,10648,4,No,13,4,13,8,0,8,9
33,1,Travel_Rarely,Research & Development,Medical,2,Male,3,3,3,Married,13610,5,Yes,15,4,7,6,7,7,15
33,1,Travel_Rarely,Research & Development,Medical,1,Male,1,1,4,Divorced,3408,2,No,8,3,4,3,1,3,10
30,0,Travel_Rarely,Sales,Marketing,4,Male,3,1,2,Single,2983,1,No,4,3,3,2,1,2,7
35,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,3,3,Married,7632,3,Yes,10,3,8,7,0,0,16
31,1,Travel_Frequently,Research & Development,Life Sciences,1,Male,3,3,3,Married,9824,4,No,12,3,1,0,0,0,20
34,1,Travel_Frequently,Human Resources,Human Resources,2,Female,3,3,1,Divorced,9950,4,Yes,11,3,3,2,0,2,23
42,0,Travel_Frequently,Research & Development,Other,2,Male,3,1,3,Married,2093,1,No,8,3,2,2,2,0,5
36,0,Non-Travel,Sales,Medical,2,Male,3,3,4,Single,9980,4,No,10,2,10,3,9,7,10
22,1,Travel_Frequently,Research & Development,Technical Degree,3,Male,2,1,3,Single,3894,2,No,4,3,2,2,1,2,4
48,0,Travel_Rarely,Sales,Marketing,2,Female,3,2,4,Married,4051,2,No,14,3,9,7,6,7,2
55,0,Travel_Rarely,Sales,Life Sciences,1,Female,3,4,2,Single,16835,6,No,37,3,10,9,7,7,18
41,0,Non-Travel,Sales,Life Sciences,4,Male,3,2,4,Single,6230,3,No,16,3,14,3,1,10,10
35,0,Travel_Rarely,Sales,Marketing,2,Male,3,2,3,Married,4717,2,No,15,3,11,9,6,9,1
40,0,Travel_Rarely,Research & Development,Life Sciences,2,Female,3,4,3,Single,13237,5,No,22,3,20,6,5,13,6
39,0,Travel_Frequently,Research & Development,Life Sciences,3,Female,3,1,3,Married,3755,2,No,8,3,8,3,0,7,8
31,0,Travel_Rarely,Sales,Life Sciences,2,Male,3,2,4,Single,6582,3,Yes,10,4,6,5,0,5,2
42,0,Travel_Rarely,Research & Development,Medical,4,Male,3,3,1,Married,7406,3,Yes,10,2,10,9,5,8,24
45,0,Travel_Rarely,Sales,Other,4,Male,3,2,2,Married,4805,2,No,9,4,8,7,3,7,2
26,1,Travel_Frequently,Human Resources,Life Sciences,2,Female,3,1,3,Divorced,2741,1,Yes,8,2,7,7,1,0,17
29,0,Travel_Rarely,Research & Development,Technical Degree,4,Male,3,2,4,Divorced,4262,2,No,8,4,3,2,1,2,19
33,0,Travel_Rarely,Research & Development,Medical,1,Female,4,4,3,Divorced,16184,6,No,10,3,6,1,0,5,1
31,0,Travel_Rarely,Sales,Life Sciences,3,Male,2,3,4,Divorced,11557,4,No,10,2,5,4,0,1,7
18,1,Travel_Frequently,Sales,Marketing,2,Male,3,1,2,Single,1878,1,Yes,0,3,0,0,0,0,5
40,0,Non-Travel,Sales,Other,3,Male,1,3,1,Divorced,10932,4,No,20,3,1,0,0,1,28
